Passenger;Lat;Long;;Driving;;Transit;;;;;Driving;Transit;Diff transit;
36;51.19461287;4.39594287;;16;mins;;;25;mins;;960;1500;;
37;51.14434097;4.38876877;;20;mins;;;53;mins;;1200;3180;;
38;51.19280651;4.398136437;;16;mins;;;24;mins;;960;1440;;
39;51.15208623;4.370377017;;19;mins;;;59;mins;;1140;3540;;
40;51.15230464;4.379155559;;18;mins;;;49;mins;;1080;2940;;
41;51.11738793;4.36040009;;28;mins;;;49;mins;;1680;2940;;
42;51.18861405;4.404683712;;21;mins;;;26;mins;;1260;1560;;
43;51.21247689;4.414146111;;5;mins;;;9;mins;;300;540;;
44;51.2134497;4.434394026;;12;mins;;;12;mins;;720;720;;
45;51.11721327;4.319253631;;30;mins;1;hour;2;mins;;1800;3720;;
46;51.17192605;4.371243927;;26;mins;;;39;mins;;1560;2340;;
47;51.22966511;4.423448088;;7;mins;;;15;mins;;420;900;;
48;51.12143075;4.318394816;;31;mins;;;56;mins;;1860;3360;;
49;51.10252106;4.369300519;;27;mins;1;hour;2;mins;;1620;3720;;
50;51.21868315;4.422571641;;10;mins;;;7;mins;;600;420;;
51;51.13495794;4.32805071;;27;mins;;;57;mins;;1620;3420;;
52;51.17884576;4.360313755;;23;mins;;;35;mins;;1380;2100;;
53;51.12660399;4.386169255;;22;mins;;;52;mins;;1320;3120;;
54;51.10898184;4.375820933;;24;mins;;;59;mins;;1440;3540;;
55;51.17002648;4.40103944;;22;mins;;;46;mins;;1320;2760;;
56;51.16574266;4.386183337;;20;mins;;;46;mins;;1200;2760;;
57;51.17383277;4.356863511;;24;mins;;;40;mins;;1440;2400;;
58;51.21920002;4.427445231;;9;mins;;;9;mins;;540;540;;
59;51.16361786;4.391045483;;20;mins;;;44;mins;;1200;2640;;
60;51.16091741;4.39317006;;20;mins;;;45;mins;;1200;2700;;
61;51.22955332;4.410180295;;7;mins;;;12;mins;;420;720;;
62;51.13248147;4.4016773;;23;mins;1;hour;4;mins;;1380;3840;;
63;51.11619099;4.374096001;;23;mins;;;58;mins;;1380;3480;;
64;51.20975995;4.406952554;;8;mins;;;10;mins;;480;600;;
65;51.21684035;4.422032104;;9;mins;;;7;mins;;540;420;;
66;51.10508617;4.330066337;;31;mins;;;51;mins;;1860;3060;;
67;51.22575398;4.399312859;;7;mins;;;17;mins;;420;1020;;
68;51.11617304;4.349101775;;27;mins;;;46;mins;;1620;2760;;
69;51.22546704;4.424063309;;9;mins;;;13;mins;;540;780;;
70;51.13026304;4.341897909;;28;mins;;;41;mins;;1680;2460;;
71;51.09942346;4.363149293;;27;mins;;;53;mins;;1620;3180;;
72;51.15167166;4.3953288;;18;mins;;;48;mins;;1080;2880;;
73;51.21247673;4.40124631;;9;mins;;;15;mins;;540;900;;
74;51.17335546;4.371410575;;24;mins;;;37;mins;;1440;2220;;
75;51.22621316;4.430689996;;8;mins;;;12;mins;;480;720;;
76;51.17947963;4.408006428;;19;mins;;;40;mins;;1140;2400;;
77;51.12036214;4.362295156;;23;mins;;;49;mins;;1380;2940;;
78;51.19093742;4.391501368;;14;mins;;;27;mins;;840;1620;;
79;51.17652487;4.392321037;;18;mins;;;37;mins;;1080;2220;;
80;51.12015075;4.370665042;;25;mins;1;hour;2;mins;;1500;3720;;
81;51.14777019;4.402499005;;23;mins;1;hour;8;mins;;1380;4080;;
82;51.21814322;4.403855628;;11;mins;;;10;mins;;660;600;;
83;51.13237415;4.389915786;;23;mins;;;51;mins;;1380;3060;;
84;51.11748024;4.331262538;;30;mins;;;50;mins;;1800;3000;;
85;51.10756281;4.340395092;;29;mins;;;41;mins;;1740;2460;;
86;51.13246344;4.40631346;;26;mins;1;hour;7;mins;;1560;4020;;
87;51.17760381;4.410401623;;19;mins;;;45;mins;;1140;2700;;
88;51.13049404;4.361426132;;26;mins;;;55;mins;;1560;3300;;
89;51.1730486;4.376859376;;22;mins;;;42;mins;;1320;2520;;
90;51.1182028;4.3384163;;28;mins;;;45;mins;;1680;2700;;
91;51.17451626;4.359588058;;24;mins;;;38;mins;;1440;2280;;
92;51.17232059;4.364077254;;23;mins;;;33;mins;;1380;1980;;
93;51.08430739;4.354519663;;28;mins;1;hour;12;mins;;1680;4320;;
94;51.12966306;4.394073329;;23;mins;;;56;mins;;1380;3360;;
95;51.1390785;4.342026925;;24;mins;;;34;mins;;1440;2040;;
96;51.10627288;4.363491962;;26;mins;1;hour;2;mins;;1560;3720;;
97;51.14757718;4.409075833;;22;mins;1;hour;11;mins;;1320;4260;;
98;51.11918823;4.32269503;;30;mins;;;55;mins;;1800;3300;;
99;51.18271783;4.370551221;;21;mins;;;29;mins;;1260;1740;;
;;;;;;;;;;;1233;2524.2;2131;18.45%
;;;;;;;;;;;20.55;42.07;35.51666667;
